name,price,year,total_km,location,engine_type,transmission
2012 Honda CR-V 2.0L MT,137000000,2012,,,,Manual
2017 Honda HRV 1.8 Prestige,250000000,2017,53000,Denpasar,Bensin,Otomatis
2024 Daihatsu Terios X M/T,230000000,2024,30000,Denpasar,Bensin,Manual
2019 Daihatsu Terios R A/T Deluxe,215000000,2019,,,,Otomatis
2022 Daihatsu Terios X M/T,210000000,2022,60000,Makassar,Bensin,Manual
2015 Chevrolet Captiva DOHC 2.0 AT,120000000,2015,198125,Pekanbaru,Bensin,Otomatis
2019 Mazda CX-5 Elite,435000000,2019,,,,Otomatis
2017 Mazda CX-5 GRAND TOURING SKYACTIVE,350000000,2017,30159,Malang,Bensin,
2022 Mazda CX-5 Elite,390000000,2022,77000,Bekasi,Bensin,Otomatis
2011 Nissan Juke CVT 1.5 AT,115000000,2011,,,,CVT
2016 Suzuki SX4 S Cross AT,145000000,2016,72221,Denpasar,Bensin,Otomatis
2020 Honda HRV 1.5L SE CVT,295000000,2020,66000,Bekasi,Bensin,CVT
2014 Nissan March 1.2 XS AT,115000000,2014,,,,Otomatis
2013 Nissan March 1.2 AT,88000000,2013,1234,"Tangerang Selatan
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Honda HRV 1.5L SE CVT,355000000,2022,17888,Yogyakarta,Bensin,CVT
2022 Hyundai Creta Style IVT,249000000,2022,,,,
2012 Honda CR-V 2.4 AT,155000000,2012,120554,"Tangerang Selatan
Panggilan Gratis",Bensin,Otomatis
2021 Honda HRV SE 1.5L AT,248000000,2021,69000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Honda HRV 1.5L E CVT,215000000,2019,,,,CVT
2019 Honda CR-V 1.5L Turbo Prestige,370000000,2019,62000,"Jakarta Pusat
7 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2022 Honda CR-V 1.5L Black Edition,515000000,2022,31000,"Jakarta Pusat
7 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2020 Honda CR-V 1.5L Turbo Prestige,449000000,2020,,,,
2018 Honda HRV 1.8 Prestige,243000000,2018,104000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2018 Honda CR-V 1.5L Turbo Prestige,372000000,2018,35000,"Jakarta Pusat
7 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2013 Honda CR-V 2.4L AT,170000000,2013,,,,Otomatis
2019 Honda CR-V 1.5L Turbo,340000000,2019,40000,"Jakarta Pusat
7 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2017 Honda HRV 1.5L E CVT,195000000,2017,,,,CVT
2015 Honda HRV 1.8 Prestige,237000000,2015,80000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2013 Honda CR-V 2.4L Prestige AT,188000000,2013,,,,Otomatis
2019 Honda HRV SE 1.5L AT,255000000,2019,,,,Otomatis
2017 Honda CR-V 2.4L Prestige AT,260000000,2017,,,,Otomatis
2016 Honda HRV 1.8 Prestige,225000000,2016,85000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2016 Honda CR-V PRESTIGE 2.4 AT,240000000,2016,70000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2015 Honda CR-V 2.4 AT,213000000,2015,,,,Otomatis
2015 Honda CR-V PRESTIGE 2.4 AT,272000000,2015,78000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2021 Honda HRV 1.5L E CVT Special Edition,275000000,2021,,,,CVT
2020 Honda HRV 1.5L E CVT,256000000,2020,66000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,CVT
2018 Honda CR-V 1.5L Turbo,342000000,2018,80000,"Jakarta Pusat
7 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2018 Honda CR-V 1.5L Black Edition,305000000,2018,,,,
2016 Honda CR-V 2.4 Prestige 24 J Bensin AT,265000000,2016,97000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2016 Honda CR-V 2.4L Prestige AT,250000000,2016,100000,"Jakarta Pusat
5 Seat
2354 Cc
Panggilan Gratis",Bensin,Otomatis
2021 Honda CR-V 1.5L Turbo,330000000,2021,68273,"Jakarta Pusat
7 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2023 Daihatsu Terios X A/T Deluxe,206000000,2023,28000,"Jakarta Pusat
7 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Honda CR-V 2.0L,275000000,2020,165000,"Jakarta Pusat
5 Seat
1997 Cc
Panggilan Gratis",Bensin,CVT
2015 Honda CR-V PRESTGE AT,205000000,2015,,,,Otomatis
2011 Honda CR-V 2.4 AT,130000000,2011,90000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Toyota Rush 1.5L TRD AT,185000000,2019,,,,Otomatis
2022 Honda CR-V 1.5L Turbo Prestige,440000000,2022,70784,"Jakarta Pusat
7 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2016 Honda CR-V 2.4L AT,210000000,2016,100000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2020 Daihatsu Terios R A/T,220000000,2020,50088,"Jakarta Pusat
7 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Honda HRV 1.5L S CVT,200000000,2017,,,,CVT
2015 Honda CR-V 2.4L Prestige AT,220000000,2015,92000,"Jakarta Pusat
5 Seat
2354 Cc
Panggilan Gratis",Bensin,Otomatis
2021 Honda CR-V 1.5L Turbo Prestige,435000000,2021,,,,
2013 Honda CR-V 2.4 AT,178000000,2013,95000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2022 Honda CR-V 2.0L,365000000,2022,50000,"Jakarta Pusat
5 Seat
1997 Cc
Panggilan Gratis",Bensin,CVT
2015 Honda HRV 1.5L E CVT,192000000,2015,,,,CVT
2019 Honda CR-V 2.0L,308000000,2019,62000,"Jakarta Pusat
5 Seat
1997 Cc
Panggilan Gratis",Bensin,CVT
2018 Honda CR-V 2.0L,304000000,2018,,,,
2015 Honda CR-V 2.0L MT,190000000,2015,90000,"Jakarta Pusat
Panggilan Gratis",Bensin,Manual
2015 Honda CR-V 2.0L AT,185000000,2015,,,,Otomatis
2014 Honda CR-V 2.4L Prestige AT,191000000,2014,,,,Otomatis
2016 Honda CR-V 2.4 AT,219000000,2016,112000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2021 Toyota Rush 1.5L TRD AT,229000000,2021,33000,"Jakarta Pusat
Panggilan Gratis",Diesel,Otomatis
2021 Honda HRV 1.5L E CVT,260000000,2021,41000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,CVT
2020 Honda HRV SE 1.5L AT,265000000,2020,47000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2017 Honda CR-V 2.4 AT,243000000,2017,71000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2013 Honda CR-V PRESTIGE 2.4 AT,190000000,2013,,,,Otomatis
2021 Daihatsu Terios R M/T Deluxe,205000000,2021,62988,"Jakarta Pusat
7 Seat
1496 Cc
Panggilan Gratis",Bensin,Manual
2019 Honda HRV 1.8L Prestige,265000000,2019,,,,
