name,price,year,total_km,location,engine_type,transmission
2021 Daihatsu Ayla 1.2L R MT,125000000,2021,,,,Manual
2013 Toyota Yaris E AT,120000000,2013,112671,Karawang,Bensin,Otomatis
2021 Daihatsu Ayla 1.2L R AT DLX,125000000,2021,30000,,Bensin,Otomatis
2021 Honda Brio RS M/T,190000000,2021,,,,Manual
2018 Honda Brio RS 1.2L AT,160000000,2018,52369,Bekasi,Bensin,Otomatis
2018 Honda Jazz GK5 1.5 RS CVT,205000000,2018,149278,,Bensin,CVT
2017 Honda Brio E AT,128000000,2017,,,,Otomatis
2017 Daihatsu Ayla 1.2L R MT DLX,110000000,2017,72000,,Bensin,Manual
2017 Honda Jazz GK5 1.5 RS CVT,185000000,2017,66037,Karawang,Bensin,CVT
2016 Toyota Agya 1.0L G A/T,97000000,2016,,,,Otomatis
2016 Honda Brio 1.2 E MT,120000000,2016,99698,Pekanbaru,Bensin,Manual
2016 Honda Jazz GK5 1.5 S MT,160000000,2016,102809,,Bensin,Manual
2015 Toyota Agya TRD S A/T,95000000,2015,,,,Otomatis
2023 Toyota Agya 1.2L G CVT,145000000,2023,27043,,Bensin,CVT
2022 Honda Brio Satya E M/T,152000000,2022,40767,Pekanbaru,Bensin,Manual
2022 Daihatsu Ayla 1.0L X MT,117000000,2022,,,,Manual
2021 Honda Brio Satya E M/T,147000000,2021,86000,Pekanbaru,Bensin,Manual
2016 Toyota Agya 1.0L G M/T,95000000,2016,168610,,Bensin,Manual
2011 Toyota Yaris S Limited AT,120000000,2011,,,,Otomatis
2020 Honda Brio RS 1.2L AT,165000000,2020,65096,Bekasi,Bensin,Otomatis
2016 Toyota Agya 1.0 G MT,95000000,2016,44035,,Bensin,Manual
2016 Ford Focus 1.6L AT,250000000,2016,,,,Otomatis
2013 Toyota Etios Valco EMT,75000000,2013,172785,,Bensin,Manual
2024 Honda Brio RS CVT,220000000,2024,17000,Jember,Bensin,CVT
2020 Honda Brio E 1.3L M/T,145000000,2020,30000,Jember,Bensin,
2018 Toyota Agya 1.2 G MT,110000000,2018,131456,Denpasar,Bensin,Manual
2017 Honda Brio Satya E MT,110000000,2017,,,,Manual
2017 Honda Brio RS CVT,130000000,2017,99849,Tegal,Bensin,CVT
2016 Toyota Yaris G MT,175000000,2016,64000,Denpasar,Bensin,Manual
2014 Honda Brio SATYA 1.2 E MT CKD,100000000,2014,,,,Manual
2018 Toyota Agya S TRD 1.2 AT,125000000,2018,81000,Denpasar,Bensin,Otomatis
2015 Daihatsu Ayla 1.0L X MT,82000000,2015,112335,Denpasar,Bensin,Manual
2023 Honda Brio 1.2L S AT,175000000,2023,,,,Otomatis
2023 Daihatsu Ayla 1.0L X MT,135000000,2023,7000,Jember,Bensin,Manual
2022 Daihatsu Ayla 1.0L X AT,112000000,2022,48000,Jember,Bensin,Otomatis
2022 Toyota Agya 1.2L GR Sport M/T,138000000,2022,,,,Manual
2020 Daihatsu Ayla 1.2L R MT,118000000,2020,73713,Tegal,Bensin,Manual
2019 Daihatsu Ayla 1.2L X MT,120000000,2019,70000,Jember,Bensin,Manual
2022 Daihatsu Ayla 1.0L D MT,107000000,2022,,,,Manual
2016 Daihatsu Ayla  1.0 X MT,95000000,2016,12345,Malang,Bensin,Manual
2024 Daihatsu Ayla 1.0L M MT,113000000,2024,13000,Jember,Bensin,Manual
2023 Honda Brio Satya E M/T,165000000,2023,,,,Manual
2017 Daihatsu Ayla  1.0 X MT,99000000,2017,80000,Malang,Bensin,Manual
2023 Daihatsu Ayla 1.2L R CVT ADS,145000000,2023,20000,Jember,Bensin,CVT
2017 Suzuki Ignis GX M/T,120000000,2017,,,,
2017 Suzuki Ignis 1.2 GX MT,106000000,2017,106000,Jember,Bensin,Manual
2017 Suzuki Ignis 1.2 GX AT,125000000,2017,110000,Denpasar,Bensin,Otomatis
2016 Daihatsu Sirion NEW SIRION AT,115000000,2016,,,,Otomatis
2014 Suzuki Swift GX 1.5L MT,145000000,2014,50215,Denpasar,Bensin,Manual
2021 Suzuki Ignis 1.2 GL MT,130000000,2021,80000,Malang,Bensin,Manual
2018 Daihatsu Ayla  1.2 R AT,110000000,2018,,,,Otomatis
2017 Daihatsu Ayla  1.2 R AT,110000000,2017,89000,Denpasar,Bensin,Otomatis
2018 Honda Brio Satya E CVT,125000000,2018,100559,Tegal,Bensin,CVT
2017 Honda Brio 1.2L S MT,105000000,2017,,,,Manual
2017 Suzuki Karimun Wagon R NEW WAGON R GL A/T,97000000,2017,85227,Denpasar,Bensin,
2011 Mazda 2 Hatchback R A/T,105000000,2011,120000,Tegal,Bensin,
2016 Toyota Agya TRD S M/T,120000000,2016,,,,Manual
2019 Toyota Yaris S TRD Sportivo 1.5L AT,212000000,2019,48180,Yogyakarta,Bensin,Otomatis
2019 Honda Jazz GK5 1.5 RS MT,218000000,2019,27415,Yogyakarta,Bensin,Manual
2018 Honda Jazz RS CVT A/T,239000000,2018,,,,CVT
2016 Toyota Agya TRD S A/T,103000000,2016,86170,Serang,Bensin,Otomatis
2018 Honda Brio 1.2 E MT,123000000,2018,65161,"Tangerang Selatan
Panggilan Gratis",Bensin,Manual
2015 Honda Brio 1.2 SATYA DD1 E M/T MNB,108000000,2015,,,,
2015 Toyota Agya 1.0L G A/T,88000000,2015,167698,"Tangerang Selatan
5 Seat
998 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Toyota Agya 1.2L GR Sport A/T,134000000,2022,58666,Yogyakarta,Bensin,Otomatis
2024 Honda Brio RS 1.2L AT,215000000,2024,,,,Otomatis
2021 Honda Brio RS CVT,185000000,2021,17001,Yogyakarta,Bensin,CVT
2019 Daihatsu Sirion 1.3 R AT,145000000,2019,,,,Otomatis
2013 Kia Picanto SE 1.2L MT,91000000,2013,70050,Yogyakarta,Bensin,Manual
2023 Mazda 3 Hatchback 2.0L AT,510000000,2023,15735,Yogyakarta,Bensin,Otomatis
2021 Honda City Hatchback RS CVT,225000000,2021,,,,CVT
2019 Suzuki Neo Baleno 1.4 M Bensin AT,165000000,2019,106510,Yogyakarta,Bensin,Otomatis
2016 Kia Rio Platinum,130000000,2016,128455,Yogyakarta,Bensin,Otomatis
2016 Hyundai i20 GL MT,114000000,2016,,,,Manual
2013 Honda Jazz 1.5L RS AT,189000000,2013,39109,Yogyakarta,Bensin,Otomatis
2023 Honda Brio Satya E CVT,175000000,2023,34000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2022 Honda Brio RS CVT Urbanite Edition,195000000,2022,,,,CVT
2022 Honda Brio Satya S CVT,140000000,2022,92000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
