name,price,year,total_km,location,engine_type,transmission
2017 Toyota Calya G AT,110000000,2017,,,,Otomatis
2016 Suzuki Ertiga GL M/T,120000000,2016,127000,Bekasi,Bensin,Manual
2016 Toyota Veloz 1.5L AT,145000000,2016,120000,,Bensin,Otomatis
2016 Toyota Kijang Innova 2.0 V MT,240000000,2016,,,,Manual
2015 Daihatsu Xenia 1.3 R MT,125000000,2015,69195,Pekanbaru,Bensin,Manual
2008 Toyota Avanza 1.3 G MT,88000000,2008,130699,,Bensin,Manual
2021 Daihatsu Xenia 1.3 R AT,175000000,2021,,,,Otomatis
2018 Toyota Avanza 1.3E MT,125000000,2018,133215,,Bensin,Manual
2016 Toyota Avanza 1.3 E M/T,130000000,2016,,,,Manual
2016 Toyota Avanza 1.3 G M/T,142000000,2016,116744,Pekanbaru,Bensin,Manual
2015 Daihatsu Xenia 1.3L R DLX MT,135000000,2015,11804,Pekanbaru,Bensin,Manual
2015 Toyota Kijang Innova 2.0 G AT,175000000,2015,,,,Otomatis
2011 Nissan Grand Livina 1.5 XV MT,82000000,2011,150051,,Bensin,Manual
2008 Toyota Innova DIESEL G 2.5 AT,175000000,2008,191225,,Diesel,Otomatis
2018 Toyota Kijang Innova REBORN 2.4 G AT DIESEL,325000000,2018,89305,,Diesel,Otomatis
2017 Toyota Avanza 1.3 G M/T,152000000,2017,85969,Pekanbaru,Bensin,Manual
2016 Toyota Calya G AT,115000000,2016,141799,,Bensin,Otomatis
2013 Nissan Grand Livina 1.5 Ultimate AT,105000000,2013,168307,,Bensin,Otomatis
2021 Mitsubishi Xpander Sport M/T,215000000,2021,62000,Denpasar,Bensin,Manual
2021 Mitsubishi Xpander Ultimate CVT,245000000,2021,50000,,Bensin,CVT
2021 Mitsubishi Xpander Sport CVT,230000000,2021,,,,CVT
2010 Nissan Serena 2.0L Highway Star AT,92000000,2010,147540,,Bensin,Otomatis
2023 Suzuki Ertiga Smart Hybrid GX AT,215000000,2023,30000,Denpasar,Hybrid,Otomatis
2019 Wuling Almaz 1.5 LT LUX + SC CVT A/T,250000000,2019,,,,CVT
