name,price,year,total_km,location,engine_type,transmission
2016 BMW 3 Series Sedan 320i Sport,370000000,2016,,,,Otomatis
2005 Mercedes Benz E-Class E240,90000000,2005,151957,Karawang,Bensin,Otomatis
2006 Honda City 1.5 VTI AT,80000000,2006,199650,,Bensin,Otomatis
2005 Honda City 1.5 VTI AT,79000000,2005,,,,Otomatis
2009 Honda City IVTEC 1.5L S MT,100000000,2009,178117,Bekasi,Bensin,Manual
2015 Honda City E 1.5L AT,163000000,2015,73476,Yogyakarta,Bensin,Otomatis
2012 Mazda 2 Sedan R 1.5 AT,105000000,2012,,,,Otomatis
2010 Honda City E 1.5L AT,115000000,2010,98848,Yogyakarta,Bensin,Otomatis
2003 Honda Civic VTi - S 1.7L AT,65000000,2003,130007,Yogyakarta,Bensin,Otomatis
2012 Honda City E RS CVT,125000000,2012,,,,CVT
2023 Suzuki Neo Baleno 1.5 AT,215000000,2023,34778,Yogyakarta,Bensin,Otomatis
2018 BMW 5 Series Sedan 520i Luxury,520000000,2018,60001,Yogyakarta,Bensin,Otomatis
2014 Toyota Yaris 1.5 S CVT TRD,157000000,2014,,,,CVT
2022 Toyota Camry 2.5 V AT,370000000,2022,58414,"Tangerang Selatan
5 Seat
2487 Cc
Panggilan Gratis",Bensin,Otomatis
2023 Mercedes Benz C-Class Sedan C 300 AMG Line,960000000,2023,4000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Toyota Camry 2.5 V AT,195000000,2016,,,,Otomatis
2016 Honda Accord 2.4L VTi-L,225000000,2016,66000,"Jakarta Pusat
5 Seat
2356 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Mercedes Benz E-Class E 250 AT,200000000,2012,63154,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2012 Mercedes Benz C-Class C180,360000000,2012,,,,Otomatis
2015 Mercedes Benz E-Class Saloon E 400 AMG,450000000,2015,43000,"Jakarta Pusat
5 Seat
2996 Cc
Panggilan Gratis",Bensin,Otomatis
2011 Honda City E AT,135000000,2011,120000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2016 Mercedes Benz C-Class Sedan C 250 AMG,460000000,2016,,,,Otomatis
2013 Mercedes Benz E-Class E 250 AVANGARDE CKD AT,237000000,2013,109000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2021 Honda City E CVT,218000000,2021,21000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2021 Toyota Camry V 2.5L AT,390000000,2021,,,,Otomatis
2019 Toyota Corolla Altis 1.8 HEV,330000000,2019,97000,"Jakarta Pusat
5 Seat
1798 Cc
Panggilan Gratis",Bensin,CVT
2019 Toyota Camry 2.5 V AT,330000000,2019,100000,"Jakarta Pusat
5 Seat
2487 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Honda Civic 1.5 ES TRB,360000000,2019,,,,
2018 Toyota Camry 2.5 V AT,280000000,2018,73000,"Jakarta Pusat
5 Seat
2487 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Mercedes Benz C-Class Sedan C 200,460000000,2018,,,,Otomatis
2017 Honda City RS A/T,205000000,2017,77000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2017 Toyota Camry V 2.5L AT,257000000,2017,88000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2017 Toyota Camry 2.5 V AT,250000000,2017,,,,Otomatis
2016 Mercedes Benz C-Class Sedan C 200 Avantgarde Line,340000000,2016,61000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2015 Toyota Camry 2.5 V AT,190000000,2015,139792,"Jakarta Pusat
5 Seat
2487 Cc
Panggilan Gratis",Bensin,Otomatis
2015 Chevrolet Captiva 2.0AT FL DIESEL AWD pearl white,160000000,2015,,,Diesel,
2013 Toyota Camry V 2.5L AT,160000000,2013,133000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2013 Toyota Camry 2.5 V AT,175000000,2013,,,,Otomatis
2012 Mercedes Benz E-Class E 200 CGI,250000000,2012,62000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2012 Mercedes Benz C-Class C250,230000000,2012,119000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2010 Toyota Vios G AT,100000000,2010,100000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2010 Mercedes Benz E-Class E 350 AMG,400000000,2010,30000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2001 BMW 3 Series Sedan 325iat,109000000,2001,,,,Otomatis
2021 Toyota Camry 2.5 V AT,450000000,2021,27000,"Jakarta Pusat
5 Seat
2487 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Toyota Camry V 2.5L AT,260000000,2016,,,,Otomatis
2015 BMW 3 Series Sedan 320i Sport,325000000,2015,52000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2014 Mercedes Benz C-Class Sedan C 200 Avantgarde Line,360000000,2014,52000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2013 Mercedes Benz C-Class Sedan C 200 CGI Avantgarde,235000000,2013,,,,
2012 Toyota Corolla Altis G 1.8L AT,133000000,2012,160000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2021 Honda City E RS CVT,235000000,2021,34000,"Jakarta Pusat
Panggilan Gratis",Bensin,CVT
2018 Honda City E 1.5L AT,215000000,2018,,,,Otomatis
2018 BMW 3 Series Sedan 320i M Sport,438000000,2018,25000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Honda Accord VTI-L AT,323000000,2017,,,,Otomatis
2017 Mercedes Benz C-Class Sedan C 300 AMG Line,405000000,2017,16000,"Jakarta Pusat
5 Seat
1999 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Mercedes Benz E-Class E 300 AMG Line,660000000,2017,33000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2014 BMW 3 Series Sedan 320i Sport,295000000,2014,51000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2014 BMW 3 Series Gran Turismo 320i AT,360000000,2014,56000,"Jakarta Pusat
5 Seat
1997 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Mercedes Benz C-Class C200,215000000,2012,,,,Otomatis
2023 BMW 3 Series Sedan 320i M Sport,810000000,2023,13000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Honda City E 1.5L AT,279000000,2022,28000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
