name,price,year,total_km,location,engine_type,transmission
2014 Honda CR-V RM 3 2WD 2.4 AT CKD,185000000,2014,,,,Otomatis
2013 Honda CR-V RM 2WD 2.4 AT CKD,155000000,2013,1,Karawang,Bensin,Otomatis
2023 Daihatsu Terios X MT EXTRA,210000000,2023,95219,,Diesel,Manual
2023 Toyota Rush G MT,230000000,2023,,,,Manual
2018 Mitsubishi Pajero Sport GLX 4x4 MT,350000000,2018,112572,Pekanbaru,Diesel,Manual
2017 Toyota Rush 1.5 S M/T TRD SPORTIVO ULTIMO DRESS UP,165000000,2017,12842,Pekanbaru,Bensin,
2017 Honda HRV 1.5 E AT MUGEN,200000000,2017,,,,Otomatis
2014 Daihatsu Terios TX AT,120000000,2014,190000,Bekasi,Bensin,Otomatis
2015 Chevrolet Captiva 2.0 LTZ AT FWD,130000000,2015,,,,Otomatis
2015 Mitsubishi Pajero Sport Dakar AT 4x2,285500000,2015,152012,,Diesel,Otomatis
2012 BMW X1 SDRIVE 18i AT CKD,175000000,2012,84012,Karawang,Bensin,Otomatis
2022 Toyota Raize 1.0T G M/T,180000000,2022,,,,
2011 Honda CR-V 2.0 MT,132000000,2011,19525,Pekanbaru,Bensin,Manual
2011 Honda CR-V 2.4L Prestige AT,125000000,2011,181328,Bekasi,Bensin,Otomatis
2024 Porsche Cayenne Turbo Tiptronic,410000000,2024,,,,Otomatis
2016 Daihatsu Terios TX ADVENTURE 1.5L MT,157000000,2016,82000,Jember,Bensin,Manual
2015 Honda HRV 1.8 PRESTIGE TWOTONE,212000000,2015,,,,
2013 Daihatsu Terios 1.5L TX AT ADVENTURE,132000000,2013,149000,Jember,Bensin,Otomatis
2007 Toyota Rush S AT,100000000,2007,200000,Tegal,Bensin,Otomatis
2021 Toyota Rush 1.5 S AT GR Sport,235000000,2021,,,,Otomatis
2014 Toyota Rush S AT,140000000,2014,117607,Tegal,Bensin,Otomatis
2014 Mitsubishi Pajero Sport  Dakar 4x2,268000000,2014,155000,Jember,Diesel,Otomatis
2011 Daihatsu Terios TX MT MC,110000000,2011,,,,Manual
2018 Mitsubishi Outlander Sport PX Action,200000000,2018,118000,Malang,Bensin,CVT
2024 Mitsubishi Xpander Limited Limited A/T,240000000,2024,13509,Jember,Bensin,Otomatis
2023 Daihatsu Rocky 1.2 X CVT,200000000,2023,,,,CVT
2022 Toyota Raize 1.0 Turbo GR Sport CVT,230000000,2022,42000,Denpasar,Bensin,CVT
2021 Toyota Raize 1.0T GR CVT TSS TWO TONE,220000000,2021,50000,Denpasar,Bensin,CVT
2018 Wuling Cortez 1.5 C,130000000,2018,,,,
2016 Honda HRV 1.8 RS PRESTIGE CVT,225000000,2016,90000,Denpasar,Bensin,CVT
2010 Toyota Rush S MT,110000000,2010,167839,Surabaya,Bensin,Otomatis
2020 Mitsubishi Xpander GLS AT,185000000,2020,,,,Otomatis
2016 Toyota Yaris Cross 1.5 G M/T,160000000,2016,97000,Denpasar,Bensin,Manual
2017 Honda HRV 1.8 RS PRESTIGE CVT,273000000,2017,82000,Denpasar,Bensin,CVT
2019 Honda HRV 1.5 E AT,225000000,2019,,,,Otomatis
2024 Toyota Fortuner 4x2 2.8 GR Sport AT DSL,595000000,2024,15941,Yogyakarta,Diesel,Otomatis
2016 Honda HRV RU1 1.5 S CVT CKD,178000000,2016,125827,"Tangerang Selatan
Panggilan Gratis",Bensin,CVT
2014 Nissan X-Trail STT 2.0 AT,136000000,2014,,,,Otomatis
2017 Honda BRV E CVT,163000000,2017,156756,Serang,Bensin,CVT
2021 Toyota Raize 1.0 Turbo GR Sport CVT TSS,237000000,2021,,,,CVT
2021 Volkswagen Tiguan Allspace 1.4L TSI,360000000,2021,23001,Yogyakarta,Bensin,
2014 Ford Ecosport Titanium1.5L AT,105000000,2014,92920,Yogyakarta,Bensin,Otomatis
2011 Honda CR-V 2.4L AT,138000000,2011,,,,Otomatis
2023 Toyota Raize 1.0T G CVT,232900000,2023,18088,Serang,Bensin,CVT
2022 Toyota Rush 1.5 S AT GR Sport,219000000,2022,21423,"Tangerang Selatan
7 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Toyota Rush S 1.5L AT,185000000,2019,,,,Otomatis
2018 Honda HRV 1.5 E AT,175000000,2018,105100,"Tangerang Selatan
Panggilan Gratis",Bensin,Otomatis
2017 Daihatsu Terios TX MT,120000000,2017,42494,"Tangerang Selatan
7 Seat
1495 Cc
Panggilan Gratis",Bensin,Manual
2013 Honda CR-V PRESTIGE,205000000,2013,,,,
2020 Mitsubishi Pajero Sport Dakar 4x2 AT,430000000,2020,42000,"Jakarta Pusat
7 Seat
2442 Cc
Panggilan Gratis",Diesel,Otomatis
2017 Honda CR-V 1.5L Turbo Prestige AT,278000000,2017,101000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2014 Toyota Fortuner  2.5L G VNT TRD Diesel AT,290000000,2014,,,Diesel,Otomatis
2018 Toyota Fortuner VRZ Trd Sportivo AT,375000000,2018,78000,"Jakarta Pusat
Panggilan Gratis",Diesel,Otomatis
2020 Toyota Fortuner VRZ Trd Sportivo AT,480000000,2020,43000,"Jakarta Pusat
Panggilan Gratis",Diesel,Otomatis
2022 Honda CR-V 1.5L Turbo Prestige Sensing,528000000,2022,,,,
2022 Toyota Fortuner 4x2 2.8 GR Sport AT DSL,562000000,2022,37000,"Jakarta Pusat
7 Seat
2755 Cc
Panggilan Gratis",Diesel,Otomatis
2021 Toyota Fortuner 2.4 GR Sport AT,460000000,2021,66000,"Jakarta Pusat
7 Seat
2393 Cc
Panggilan Gratis",Diesel,Otomatis
2021 Toyota Fortuner 2.4 VRZ AT,430000000,2021,,,,Otomatis
2020 Toyota Rush S TRD SPORTIVO 1.5L AT,215000000,2020,24000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2018 Honda HRV 1.5 S AT,189000000,2018,82000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2018 Toyota Fortuner 2.4 VRZ AT,340000000,2018,,,,Otomatis
2017 Honda HRV 1.5 S AT,195000000,2017,57178,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
